audio_id,dataset,category,engine,called_at,source,elapsed_seconds,call_status,endpoint,model,timestamps,diarization,error
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,azure,2026-08-28T17:20:16+09:00,raw-cache,2.705,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,whisper,2026-08-28T17:20:19+09:00,raw-cache,1.077,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,google,2026-08-28T17:20:20+09:00,raw-cache,3.913,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,assemblyai,2026-08-28T17:20:24+09:00,raw-cache,5.967,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,clova,2026-08-28T17:20:30+09:00,raw-cache,2.951,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,azure,2026-08-28T17:20:33+09:00,raw-cache,9.232,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,whisper,2026-08-28T17:20:42+09:00,raw-cache,2.949,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,google,2026-08-28T17:20:45+09:00,raw-cache,9.8,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,assemblyai,2026-08-28T17:20:55+09:00,raw-cache,6.353,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,clova,2026-08-28T17:21:01+09:00,raw-cache,2.215,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,azure,2026-08-28T17:21:03+09:00,raw-cache,4.009,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,whisper,2026-08-28T17:21:07+09:00,raw-cache,2.529,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,google,2026-08-28T17:21:10+09:00,raw-cache,5.424,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,assemblyai,2026-08-28T17:21:15+09:00,raw-cache,13.326,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
